teatro,sala,fecha,proyeccion,hora,fila,silla,edad,sexo
Teatro Centro,Sala 1,2026-08-01,1,14:00,1,1,25,hombre
Teatro Centro,Sala 1,2026-08-01,1,14:00,1,2,30,mujer
Teatro Centro,Sala 1,2026-08-01,1,14:00,4,5,22,m
Teatro Centro,Sala 1,2026-08-01,1,14:00,4,6,28,femenino
Teatro Centro,Sala 1,2026-08-01,2,17:00,4,5,19,mujer
Teatro Centro,Sala 1,2026-08-01,2,17:00,6,7,45,masculino
Teatro Centro,Sala 1,2026-08-01,2,17:00,8,10,50,hombre
Teatro Centro,Sala 1,2026-08-02,1,14:00,2,2,20,f
Teatro Centro,Sala 1,2026-08-02,1,14:00,6,7,29,mujer
Teatro Centro,Sala 2,2026-08-01,1,15:00,1,1,35,hombre
Teatro Centro,Sala 2,2026-08-01,1,15:00,5,6,40,mujer
Teatro Centro,Sala 2,2026-08-01,2,18:00,7,8,19,hombre
Teatro Centro,Sala 3,2026-08-01,1,16:00,1,1,21,mujer
Teatro Centro,Sala 3,2026-08-01,1,16:00,6,7,32,hombre
Teatro Centro,Sala VIP,2026-08-01,1,20:00,4,5,41,hombre
Teatro Norte,Sala 1,2026-08-01,1,14:00,1,1,18,mujer
Teatro Norte,Sala 1,2026-08-01,1,14:00,4,4,22,hombre
Teatro Norte,Sala 2,2026-08-01,1,16:00,5,5,30,mujer
Teatro Norte,Sala Max,2026-08-01,1,19:00,12,14,27,hombre
Teatro Portal,Sala 1,2026-08-01,1,14:00,2,3,25,hombre
Teatro Portal,Sala 2,2026-08-01,1,17:00,5,6,33,mujer
Teatro Portal,Sala 3,2026-08-01,1,17:00,5,6,28,hombre
Teatro Marina,Sala 1,2026-08-01,1,15:00,1,1,20,mujer
Teatro Marina,Sala 2,2026-08-01,1,15:00,1,1,22,hombre
Teatro Rodadero,Sala Principal,2026-08-01,1,18:00,6,6,45,mujer
Teatro Ocean,Sala 1,2026-08-01,1,16:00,3,3,19,hombre
Teatro Bocagrande,Sala 1,2026-08-01,1,17:00,5,5,38,mujer
Teatro Bocagrande,Sala 2,2026-08-01,1,17:00,5,5,40,hombre
Teatro Bocagrande,Sala VIP,2026-08-01,1,21:00,4,5,55,hombre
Teatro Castillo,Sala 1,2026-08-01,1,14:00,2,2,29,mujer
Teatro Amboy,Sala 1,2026-08-01,1,16:00,1,1,31,hombre
Teatro Valle,Sala 1,2026-08-01,1,18:00,1,1,26,mujer
Teatro Guatapurí,Sala 1,2026-08-01,1,19:00,1,1,24,hombre
Teatro Sinú,Sala 1,2026-08-01,1,20:00,1,1,23,mujer
Teatro Alamedas,Sala 1,2026-08-01,1,20:00,1,1,27,hombre
